Locus ID	Gene	Fold Change Expression (Burn vs. Succ.)	P	Fold Change  Expression (Chronic vs. Succ.)	P	KO	COG	COG Category
PA3020	-	1.3	0.53	1.08	0.95	K08309	COG0741	Cell envelope biogenesis, outer membrane
PA3021	-	0.87	0.54	0.89	0.59	-	COG3755	Function unknown
PA3022	-	1.49	0.49	0.79	0.89	K07140	COG3217	General function prediction only
PA3023	-	3.22	0.072	6.51	0.0017	K07029	COG1597	Lipid metabolism / General function prediction only
PA3024	-	0.9	0.73	1.36	0.86	-	COG1070	Carbohydrate transport and metabolism
PA3025	-	2.93	0.085	5.54	0.0021	K00111	COG0578	Energy production and conversion
PA3026	-	1.67	0.19	1.84	0.59	K00803	COG0277	Energy production and conversion
PA3027	-	0.41	0.033	0.54	0.54	-	COG2207	Transcription
PA3028	-	0.59	0.22	1.25	0.51	K03750	COG0303	Coenzyme metabolism
PA3029	-	0.34	0.00057	0.2	0.015	K03638	COG0521	Coenzyme metabolism
PA3030	mobA	2.24	0.29	1.26	0.66	K03752	COG0746	Coenzyme metabolism
PA3031	-	1.58	0.53	1.69	0.72	-	-	-
PA3032	snr1	2.25	0.23	5.02	0.59	-	COG1858	Inorganic ion transport and metabolism
PA3033	-	0.5	0.11	0.38	0.43	-	-	-
PA3034	-	1.75	0.25	6.98	0.00084	-	COG1309	Transcription
PA3035	-	2.02	0.42	8.87	0.077	K00799	COG0625	Posttranslational modification, protein turnover, chaperones
PA3036	-	1.39	0.63	5.63	0.17	K07006	COG3576	General function prediction only
PA3037	-	0.48	0.56	2.13	0.5	-	COG0491	General function prediction only
PA3038	-	0.11	2.7E-10	0.3	0.057	-	-	-
PA3039	-	0.13	0.000075	0.29	0.034	K03320	COG0004	Inorganic ion transport and metabolism
PA3040	-	5.11	0.0041	3.81	0.023	-	COG4575	Function unknown
PA3041	-	5.58	0.0088	3.57	0.6	-	COG5393	Function unknown
PA3042	-	4.65	0.13	3.71	0.56	-	-	-
PA3043	-	0.95	0.68	0.76	0.55	K01129	COG0232	Nucleotide transport and metabolism
PA3044	-	13.12	0.011	33.98	5.4E-14	-	COG0642	Signal transduction mechanisms
PA3045	-	1.62	0.26	2.78	0.5	K07690	COG2197	Signal transduction mechanisms / Transcription
PA3046	-	0.54	0.04	0.39	0.026	K09923	COG3171	Function unknown
PA3047	-	0.64	0.23	0.63	0.58	K07259	COG2027	Cell envelope biogenesis, outer membrane
PA3048	-	0.29	0.0000091	0.37	0.006	K12297	COG0116	DNA replication, recombination, and repair
PA3049	-	16.86	5.7E-16	14.27	0.000024	K03812	COG3130	Translation, ribosomal structure and biogenesis
PA3050	pyrD	0.34	0.0013	0.31	0.013	K00226	COG0167	Nucleotide transport and metabolism
PA3051	-	1.57	0.73	0.59	1	-	-	-
PA3052	-	0.58	0.18	0.55	0.55	-	-	-
PA3053	-	0.77	0.67	1	0.71	-	COG0596	General function prediction only
PA3054	-	1.12	0.83	0.89	0.72	-	COG2866	Amino acid transport and metabolism
PA3055	-	1.58	0.36	1.95	0.27	-	-	-
PA3056	-	1.81	0.27	2.77	0.52	-	-	-
PA3057	-	0.86	0.9	2.43	0.58	-	-	-
PA3058	pelG	0.38	0.21	1.23	0.73	-	COG4267	Function unknown
PA3059	pelF	1.38	0.44	5.05	0.01	-	COG0438	Cell envelope biogenesis, outer membrane
PA3060	pelE	1.53	0.33	5.77	0.028	-	-	-
PA3061	pelD	0.41	0.14	1.95	0.65	-	-	-
PA3062	pelC	0.22	0.077	1	0.92	-	-	-
PA3063	pelB	1.16	0.6	3.15	0.076	-	-	-
PA3064	pelA	0.43	0.19	0.91	0.91	-	COG3868	Function unknown
PA3065	-	1.56	0.49	3.24	0.64	-	-	-
PA3066	-	1.17	0.79	0.96	0.95	-	COG1335	Secondary metabolites biosynthesis, transport, and catabolism
PA3067	-	1.75	0.24	0.8	0.94	-	COG1846	Transcription
PA3068	gdhB	2.98	0.023	10.12	5.3E-10	K15371	COG2902	Amino acid transport and metabolism
PA3069	-	2.97	0.053	2.99	0.28	-	-	-
PA3070	-	1.1	0.78	0.72	0.76	K03924	COG0714	General function prediction only
PA3071	-	1.21	0.49	0.72	1	-	COG1721	General function prediction only
PA3072	-	3.02	0.0098	0.64	0.97	-	-	-
PA3073	-	0.87	0.82	0.98	0.69	K07114	COG2304	General function prediction only
PA3074	-	0.83	0.81	1.14	0.81	K07114	-	-
PA3075	-	0.56	0.12	0.94	0.88	-	-	-
PA3076	-	0.76	0.42	0.81	0.69	-	-	-
PA3077	-	0.77	0.56	0.51	0.39	-	COG0745	Signal transduction mechanisms / Transcription
PA3078	-	0.42	0.0087	0.24	0.18	-	COG0642	Signal transduction mechanisms
PA3079	-	0.57	0.13	0.54	0.69	K07003	COG1033	General function prediction only
PA3080	-	1.47	0.48	1.19	0.69	-	COG4447	General function prediction only
PA3081	-	0.58	0.21	0.56	0.53	-	-	-
PA3082	-	0.55	0.067	0.46	0.29	-	-	-
PA3083	pepN	0.36	0.00013	0.36	0.019	K01256	COG0308	Amino acid transport and metabolism
PA3084	-	0.53	0.086	0.29	0.037	-	-	-
PA3085	-	0.42	0.0048	0.18	0.0049	K09916	COG3139	Function unknown
PA3086	-	0.3	0.00066	0.28	0.045	K02441	COG0705	Amino acid transport and metabolism
PA3087	-	0.69	0.47	0.71	0.81	-	-	-
PA3088	-	0.36	0.0021	0.14	0.00088	K00858	COG0061	Coenzyme metabolism
PA3089	-	5.87	0.0023	1.18	0.83	K09977	COG3782	Function unknown
PA3090	-	2.49	0.55	4.53	0.62	-	-	-
PA3091	-	6.95	0.0012	4.31	0.015	-	-	-
PA3092	-	3.67	0.00059	2.44	0.59	K00219	COG1902	Energy production and conversion
PA3093	-	0.69	0.38	0.79	0.74	-	COG0388	General function prediction only
PA3094	-	0.35	0.0052	0.35	0.27	-	COG2207	Transcription
PA3095	xcpZ	1.42	0.59	0.59	1	K02462	COG3149	Intracellular trafficking and secretion
PA3096	xcpY	1.22	0.8	0.61	0.95	K02461	COG3297	Intracellular trafficking and secretion
PA3097	xcpX	1.44	0.34	1.1	0.98	K02460	COG3156	Intracellular trafficking and secretion
PA3098	xcpW	9.63	1.4E-11	2.56	0.75	K02459	COG4795	Intracellular trafficking and secretion
PA3099	xcpV	1.4	0.95	0.04	0.24	K02458	COG2165	Cell motility and secretion / Intracellular trafficking and secretion
PA3100	xcpU	1.07	1	0.41	0.61	K02457	-	-
PA3101	xcpT	0.82	0.41	0.22	0.027	K02456	COG2165	Cell motility and secretion / Intracellular trafficking and secretion
PA3102	xcpS	1.92	0.38	1.26	0.96	K02455	COG1459	Cell motility and secretion / Intracellular trafficking and secretion
PA3103	xcpR	1.73	0.35	0.67	0.67	K02454	COG2804	Cell motility and secretion / Intracellular trafficking and secretion
PA3104	xcpP	2.12	0.032	0.51	0.15	K02452	-	-
PA3105	xcpQ	1.13	0.82	4.15	0.00057	K02453	COG1450	Cell motility and secretion / Intracellular trafficking and secretion
PA3106	-	0.22	0.0000058	0.38	0.094	K00540	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA3107	metZ	0.32	0.00023	0.33	0.022	K10764	COG0626	Amino acid transport and metabolism
PA3108	purF	0.24	0.00000044	0.16	0.000000078	K00764	COG0034	Nucleotide transport and metabolism
PA3109	-	0.55	0.051	0.23	0.00092	K03558	COG1286	General function prediction only
PA3110	-	0.28	0.000038	0.18	0.00028	K03749	COG3147	Function unknown
PA3111	folC	0.15	1E-11	0.11	2.8E-11	K11754	COG0285	Coenzyme metabolism
PA3112	accD	0.17	3.7E-11	0.09	3.9E-15	K01963	COG0777	Lipid metabolism
PA3113	trpF	0.52	0.039	0.34	0.021	K01817	COG0135	Amino acid transport and metabolism
PA3114	truA	1.54	0.15	2.24	0.11	K06173	COG0101	Translation, ribosomal structure and biogenesis
PA3115	fimV	1.01	0.98	0.47	0.011	K08086	COG3170	Cell motility and secretion / Intracellular trafficking and secretion
PA3116	-	0.31	0.0000089	0.1	7.6E-11	-	COG0136	Amino acid transport and metabolism
PA3117	-	0.23	0.00000018	0.19	0.00000066	K00133	COG0136	Amino acid transport and metabolism
PA3118	leuB	0.15	2.1E-10	0.11	3.5E-10	K00052	COG0473	Amino acid transport and metabolism
PA3119	-	0.1	2.8E-11	0.43	0.23	-	COG2226	Coenzyme metabolism
PA3120	leuD	0.43	0.017	0.5	0.24	K01704	COG0066	Amino acid transport and metabolism
PA3121	leuC	0.35	0.0017	0.3	0.00011	K01703	COG0065	Amino acid transport and metabolism
PA3122	-	0.95	1	0.95	0.69	-	COG0583	Transcription
PA3123	-	1.72	0.27	0.99	0.95	-	COG0251	Translation, ribosomal structure and biogenesis
PA3124	-	0.98	0.92	0.82	0.93	-	COG0583	Transcription
PA3125	-	2.65	0.014	2.86	0.27	-	COG2755	Amino acid transport and metabolism
PA3126	ibpA	4.34	0.26	56.76	9.1E-28	K04080	COG0071	Posttranslational modification, protein turnover, chaperones
PA3127	-	1.36	0.53	1.31	0.82	-	-	-
PA3128	-	1.17	0.88	1.23	0.74	-	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA3129	-	0.35	0.0058	0.23	0.019	K05541	COG0042	Translation, ribosomal structure and biogenesis
PA3130	-	0.43	0.035	0.3	0.23	K07107	COG0824	General function prediction only
PA3131	-	0.3	0.00016	0.18	0.011	K01625	COG0800	Carbohydrate transport and metabolism
PA3132	-	1.16	0.68	3.02	0.34	-	COG2267	Lipid metabolism
PA3133	-	1.58	0.34	4.87	0.2	-	COG1309	Transcription
PA3134	gltX	0.26	0.0000019	0.18	0.0000043	K01885	COG0008	Translation, ribosomal structure and biogenesis
PA3135	-	0.94	0.93	7.08	0.00033	-	COG0583	Transcription
PA3136	-	2.92	0.062	7.23	0.067	K03543	COG1566	Defense mechanisms
PA3137	-	2.25	0.057	2.17	0.42	K03446	COG2814	Carbohydrate transport and metabolism
PA3138	uvrB	0.78	0.55	0.72	0.81	K03702	COG0556	DNA replication, recombination, and repair
PA3139	-	0.3	0.000053	0.17	0.00000046	K00832	COG1448	Amino acid transport and metabolism
PA3140	-	0.83	0.84	0.85	1	K02237	COG1555	DNA replication, recombination, and repair
PA3141	wbpM	1.07	0.86	0.34	0.00056	-	COG1086	Cell envelope biogenesis, outer membrane / Carbohydrate transport and metabolism
PA3142	-	1.73	0.076	0.94	0.79	K07497	-	-
PA3143	-	0.7	0.17	0.16	0.0013	K07497	-	-
PA3144	-	0.44	0.0011	0.16	0.000002	K07497	-	-
PA3145	wbpL	0.78	0.35	0.32	0.0017	K13007	COG0472	Cell envelope biogenesis, outer membrane
PA3146	wbpK	0.56	0.029	0.17	0.0000005	-	COG0451	Cell envelope biogenesis, outer membrane / Carbohydrate transport and metabolism
PA3147	wbpJ	0.43	0.0014	0.12	5.3E-12	-	COG0438	Cell envelope biogenesis, outer membrane
PA3148	wbpI	0.37	0.000074	0.1	1.1E-14	K13019	COG0381	Cell envelope biogenesis, outer membrane
PA3149	wbpH	0.37	0.00014	0.08	2.6E-14	-	COG0438	Cell envelope biogenesis, outer membrane
PA3150	wbpG	0.34	0.000033	0.1	1.2E-13	-	COG0037	Cell cycle control, cell division, chromosome partitioning
PA3151	-	0.39	0.00024	0.06	4E-18	K02500	COG0107	Amino acid transport and metabolism
PA3152	-	0.64	0.092	0.14	0.0000065	K02501	COG0118	Amino acid transport and metabolism
PA3153	-	0.5	0.0059	0.13	5.8E-09	-	COG2244	General function prediction only
PA3154	-	0.51	0.009	0.15	3.1E-10	-	-	-
PA3155	wbpE	0.48	0.0054	0.13	1.1E-11	K13017	COG0399	Cell envelope biogenesis, outer membrane
PA3156	wbpD	0.52	0.013	0.12	4.3E-09	K13018	COG1045	Amino acid transport and metabolism
PA3157	-	0.79	0.34	0.22	0.000016	-	COG1835	Lipid metabolism
PA3158	wbpB	0.47	0.0035	0.12	6.9E-13	K13016	COG0673	General function prediction only
PA3159	wbpA	0.69	0.13	0.2	0.000000051	K13015	COG0677	Cell envelope biogenesis, outer membrane
PA3160	-	1.54	0.26	0.69	0.35	K05790	COG3765	Cell envelope biogenesis, outer membrane
PA3161	himD	1.29	0.4	0.48	0.16	K05788	COG0776	DNA replication, recombination, and repair
PA3162	rpsA	0.21	1.6E-09	0.08	1E-21	K02945	COG0539	Translation, ribosomal structure and biogenesis
PA3163	-	0.26	0.000019	0.13	0.0000088	K00945	COG0283	Nucleotide transport and metabolism
PA3164	-	0.27	0.0000025	0.1	4.8E-09	-	-	-
PA3165	-	0.45	0.0075	0.25	0.0013	K00817	COG0079	Amino acid transport and metabolism
PA3166	pheA	0.48	0.014	0.24	0.0011	K14170	COG0077	Amino acid transport and metabolism
PA3167	serC	0.23	0.00000042	0.19	0.0000012	K00831	COG1932	Coenzyme metabolism / Amino acid transport and metabolism
PA3168	gyrA	0.26	0.0000013	0.13	4E-11	K02469	COG0188	DNA replication, recombination, and repair
PA3169	-	0.71	0.25	0.17	0.0025	K08963	COG0182	Translation, ribosomal structure and biogenesis
PA3170	-	0.57	0.13	0.51	0.58	-	COG0402	Nucleotide transport and metabolism / General function prediction only
PA3171	ubiG	0.85	0.51	0.39	0.11	K00568	COG2227	Coenzyme metabolism
PA3172	-	1.18	0.61	1.04	0.88	K01091	COG0546	General function prediction only
PA3173	-	0.37	0.0024	0.41	0.27	-	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA3174	-	24.12	0.000056	44.31	1.2E-09	-	COG1414	Transcription
PA3175	-	4.18	0.011	4.91	0.2	K01479	COG0010	Amino acid transport and metabolism
PA3176	gltS	2.23	0.066	3.05	0.47	K03312	COG0786	Amino acid transport and metabolism
PA3177	-	1.74	0.072	3.51	0.074	-	COG3706	Signal transduction mechanisms
PA3178	-	0.85	0.92	1.02	1	-	-	-
PA3179	-	0.57	0.073	0.35	0.025	K06178	COG1187	Translation, ribosomal structure and biogenesis
PA3180	-	1.33	0.47	1.71	1	K03574	-	-
PA3181	-	0.72	0.17	0.82	0.76	K01625	COG0800	Carbohydrate transport and metabolism
PA3182	-	0.6	0.45	4.89	0.01	K01057	COG0363	Carbohydrate transport and metabolism
PA3183	-	0.39	0.0015	0.64	0.21	K00036	COG0364	Carbohydrate transport and metabolism
PA3184	-	0.36	0.0025	0.4	0.14	-	COG1737	Transcription
PA3185	-	0.63	0.13	0.2	0.0003	-	COG0676	Carbohydrate transport and metabolism
PA3186	oprB	0.45	0.067	0.55	0.64	K07267	COG3659	Cell envelope biogenesis, outer membrane
PA3187	-	1.96	0.065	10.47	0.000099	K02023	COG3839	Carbohydrate transport and metabolism
PA3188	-	0.4	0.23	0.47	0.89	K02026	COG0395	Carbohydrate transport and metabolism
PA3189	-	0.57	0.33	1.12	0.94	K02025	COG1175	Carbohydrate transport and metabolism
PA3190	-	1.1	0.75	3.09	0.21	K02027	COG1653	Carbohydrate transport and metabolism
PA3191	-	1.88	0.11	1.24	1	-	COG0642	Signal transduction mechanisms
PA3192	gltR	0.18	0.0000026	0.3	0.067	-	COG0745	Signal transduction mechanisms / Transcription
PA3193	-	0.38	0.001	0.43	0.18	K00845	COG0837	Carbohydrate transport and metabolism
PA3194	-	0.36	0.05	0.29	0.074	K01690	COG0129	Amino acid transport and metabolism / Carbohydrate transport and metabolism
PA3195	gapA	0.38	0.008	1.44	1	K00134	COG0057	Carbohydrate transport and metabolism
PA3196	-	0.47	0.11	0.84	0.83	-	-	-
PA3197	-	0.55	0.086	0.56	0.51	K06024	COG1386	DNA replication, recombination and repair
PA3198	-	0.52	0.084	0.73	0.77	K05896	COG1354	Replication,    recombination, and repair
PA3199	-	0.49	0.076	0.55	0.49	K07566	COG0009	Translation, ribosomal structure and biogenesis
PA3200	-	0.96	1	1.23	1	K07053	COG0613	General function prediction only
PA3201	-	0.64	0.14	0.46	0.081	K06190	COG2917	Cell division and chromosome partitioning
PA3202	-	0.63	0.25	0.57	0.93	K09780	COG2350	Function unknown
PA3203	-	0.45	0.034	0.29	0.09	-	-	-
PA3204	-	0.71	0.22	0.47	0.31	-	COG0745	Signal transduction mechanisms / Transcription
PA3205	-	2.64	0.0078	2.66	0.44	-	COG3678	Intracellular trafficking and secretion / Cell motility and secretio / Signal transduction mechanisms / Inorganic ion transport and metabolism
PA3206	-	1.11	0.78	2.24	0.43	K00936	COG0642	Signal transduction mechanisms
PA3207	-	0.81	0.88	2.21	0.91	-	-	-
PA3208	-	1.36	0.41	2.91	0.093	-	COG0778	Energy production and conversion
PA3209	-	11.92	0.19	28.88	0.0000015	K06940	COG0727	General function prediction only
PA3210	trkH	0.42	0.02	0.58	0.41	K03498	COG0168	Inorganic ion transport and metabolism
PA3211	-	0.63	0.14	0.41	0.19	K02066	COG0767	Secondary metabolites biosynthesis, transport, and catabolism
PA3212	-	0.71	0.35	0.71	1	K02065	COG1127	Secondary metabolites biosynthesis, transport, and catabolism
PA3213	-	0.68	0.22	0.68	0.53	K02067	COG1463	Secondary metabolites biosynthesis, transport, and catabolism
PA3214	-	0.62	0.28	0.4	0.77	-	COG3218	General function prediction only
PA3215	-	0.99	0.86	29.06	4.8E-12	-	COG2207	Transcription
PA3216	-	2.26	0.39	1.32	0.78	-	COG4323	Function unknown
PA3217	cyaB	0.54	0.046	0.4	0.13	K05345	COG2114	Signal transduction mechanisms
PA3218	-	8.9	0.00026	49.24	0.000000015	-	-	-
PA3219	-	3.73	0.24	12.63	0.21	-	COG2908	Function unknown
PA3220	-	0.86	0.7	0.32	0.89	-	COG2207	Transcription
PA3221	csaA	0.94	0.82	0.36	0.53	K06878	COG0073	General function prediction only
PA3222	-	1.1	0.63	1.03	0.92	-	-	-
PA3223	-	0.37	0.049	3.05	0.71	K01118	COG1182	Lipid metabolism
PA3224	-	1.13	0.78	0.88	0.78	-	-	-
PA3225	-	2.69	0.0062	1.27	0.94	-	COG0583	Transcription
PA3226	-	2.07	0.1	1.06	0.73	-	COG0596	General function prediction only
PA3227	ppiA	0.78	0.62	0.63	0.55	K03767	COG0652	Posttranslational modification, protein turnover, chaperones
PA3228	-	1.22	0.67	0.62	0.65	K06147	COG1132	Defense mechanisms
PA3229	-	0.81	0.83	2.62	0.8	-	-	-
PA3230	-	0.94	0.82	1.13	1	K09919	COG3146	Function unknown
PA3231	-	6.48	0.25	3.02	0.49	-	-	-
PA3232	-	0.5	0.24	1.42	0.72	K02342	COG0847	DNA replication, recombination, and repair
PA3233	-	0.33	0.061	1.73	0.59	K07182	COG2905	Signal transduction mechanisms
PA3234	-	0.11	0.0041	0.46	0.41	K14393	COG4147	General function prediction only
PA3235	-	0.04	0.0098	0.12	0.15	-	COG3162	Function unknown
PA3236	-	1.09	0.82	1.7	0.44	K02002	COG2113	Amino acid transport and metabolism
PA3237	-	3.32	0.17	48.18	0.0000027	-	COG3205	Function unknown
PA3238	-	1.11	0.89	2.23	0.27	-	-	-
PA3239	-	0.81	0.65	0.32	0.21	K04754	COG2853	Cell envelope biogenesis, outer membrane
PA3240	-	1.51	0.28	5.35	0.035	K06911	COG1741	General function prediction only
PA3241	-	0.68	0.42	0.67	0.96	K07001	COG1752	General function prediction only
PA3242	-	0.32	0.00076	0.17	0.00057	K02517	COG1560	Cell envelope biogenesis, outer membrane
PA3243	minC	0.48	0.053	0.39	0.14	K03610	COG0850	Cell division and chromosome partitioning
PA3244	minD	0.32	0.00005	0.13	1.1E-11	K03609	COG2894	Cell division and chromosome partitioning
PA3245	minE	0.19	6.2E-09	0.11	1.7E-12	K03608	COG0851	Cell division and chromosome partitioning
PA3246	rluA	0.54	0.2	0.96	1	K06177	COG0564	Translation, ribosomal structure and biogenesis
PA3247	-	0.45	0.02	0.2	0.0053	K01269	COG1362	Amino acid transport and metabolism
PA3248	-	1.58	0.21	1.51	0.94	-	COG1670	Translation, ribosomal structure and biogenesis
PA3249	-	3.83	0.16	7.5	0.32	-	COG2188	Transcription
PA3250	-	1.99	0.25	2.58	0.5	K02055	COG1840	Inorganic ion transport and metabolism
PA3251	-	7.45	0.000058	89.48	5E-28	-	COG1524	General function prediction only
PA3252	-	4.78	0.0062	13.44	0.007	K02054	COG4132	General function prediction only
PA3253	-	0.99	0.95	1.47	0.77	K02053	COG1177	Amino acid transport and metabolism
PA3254	-	0.57	0.074	0.17	0.068	K02052	COG3842	Amino acid transport and metabolism
PA3255	-	0.35	0.0031	0.14	0.00025	-	COG0560	Amino acid transport and metabolism
PA3256	-	0.81	0.74	0.75	0.88	-	COG0604	Energy production and conversion / General function prediction only
PA3257	-	0.55	0.016	0.57	0.093	K03797	COG0793	Cell envelope biogenesis, outer membrane
PA3258	-	1.45	0.73	1.44	0.91	-	COG2200	Signal    transduction mechanisms
PA3259	-	1.09	0.81	0.38	0.38	-	-	-
PA3260	-	1.55	0.31	0.47	0.72	-	-	-
PA3261	-	1.23	0.7	1.49	0.57	-	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA3262	-	1.33	0.75	0.2	0.0000014	K03773	COG0545	Posttranslational modification, protein turnover, chaperones
PA3263	-	0.55	0.18	0.46	0.43	K03554	COG2974	DNA replication, recombination, and repair
PA3264	-	1.45	0.36	7.07	0.00048	K03453	COG0385	General function prediction only
PA3265	-	0.42	0.099	0.52	0.6	K11741	COG2076	Inorganic ion transport and metabolism
PA3266	capB	0.36	0.000064	0.06	7.3E-18	K03704	COG1278	Transcription
PA3267	-	0.26	0.000095	0.3	0.009	-	COG0204	Lipid metabolism
PA3268	-	0.44	0.27	0.61	0.61	K16091	COG4772	Inorganic ion transport and metabolism
PA3269	-	0.44	0.078	0.46	0.67	-	COG2207	Transcription
PA3270	-	0.92	0.88	0.75	0.78	-	COG1670	Translation, ribosomal structure and biogenesis
PA3271	-	0.69	0.26	0.92	1	-	COG0591	Amino acid transport and metabolism / General function prediction only
PA3272	-	2.48	0.01	6.3	0.0029	K03724	COG1201	General function prediction only
PA3273	-	10.04	0.00000024	18.71	0.093	-	-	-
PA3274	-	27.28	0.27	52.04	0.00049	-	-	-
PA3275	-	1.86	0.33	1.48	0.58	K09771	COG1742	Function unknown
PA3276	-	1.61	0.17	1.23	0.95	-	-	-
PA3277	-	2.86	0.0026	4.78	0.001	-	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA3278	-	16.46	0.0000011	2.46	0.067	-	-	-
PA3279	oprP	2.11	0.31	7.55	0.14	K07221	COG3746	Inorganic ion transport and metabolism
PA3280	oprO	1.66	0.19	4.81	0.077	K07221	COG3746	Inorganic ion transport and metabolism
PA3281	-	0.84	0.97	5.9	0.00036	-	-	-
PA3282	-	1.61	0.19	7.58	0.00042	K09929	COG3219	Function unknown
PA3283	-	0.79	0.64	14.98	6.4E-09	K09930	COG3220	Function unknown
PA3284	-	0.83	0.99	24.18	4.9E-13	-	-	-
PA3285	-	0.62	0.11	0.28	0.071	K03088	COG1595	Transcription
PA3286	-	0.37	0.0013	0.22	0.0022	K16872	COG0332	acyl-carrier-protein
PA3287	-	5.8	0.05	20.21	0.024	K06867	COG0666	General function prediction only
PA3288	-	0.73	0.41	0.53	0.44	-	COG1335	Secondary metabolites biosynthesis, transport, and catabolism
PA3289	-	2.09	0.4	5.48	0.21	-	-	-
PA3290	-	3.11	0.017	0.93	1	-	-	-
PA3291	-	4.49	0.000068	1.92	0.72	-	-	-
PA3292	-	1.99	0.42	1.02	0.89	-	-	-
PA3293	-	4.56	0.0032	2.43	0.87	-	-	-
PA3294	-	1.96	0.16	1.08	0.99	K11904	COG3501	Function unknown
PA3295	-	0.36	0.0027	0.12	0.0032	K02503	COG0537	Nucleotide transport and metabolism / Carbohydrate transport and metabolism / General function prediction only
PA3296	phoA	10.17	0.000041	27.42	0.25	K01077	COG1785	Inorganic ion transport and metabolism
PA3297	-	0.32	0.00011	0.37	0.022	K03578	COG1643	DNA replication, recombination, and repair
PA3298	-	2.54	0.46	1.09	0.75	-	-	-
PA3299	-	0.66	0.2	0.34	0.0026	K01897	COG0318	Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism
PA3300	-	0.89	0.82	0.66	0.68	K01897	COG0318	Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism
PA3301	-	0.3	0.000016	0.06	2.1E-09	-	COG2267	Lipid metabolism
PA3302	-	0.24	0.000012	0.38	0.37	-	COG2030	Lipid metabolism
PA3303	-	1.63	0.22	0.83	0.83	K08164	COG2814	Carbohydrate transport and metabolism
PA3304	-	0.96	0.85	0.78	1	-	COG1566	Defense mechanisms
PA3304.1	-	1.08	1	0.3	1	-	-	-
PA3305	-	1.27	0.66	0.54	0.43	-	COG1289	Function unknown
PA3305.1	-	5.22	4.3E-09	1.04	0.93	-	-	-
PA3306	-	2.12	0.054	1.45	0.63	-	COG3145	DNA replication, recombination, and repair
PA3307	-	4.83	0.000019	1.24	0.92	-	-	-
PA3308	hepA	0.27	0.000018	0.19	0.000037	K03580	COG0553	Transcription / DNA replication, recombination, and repair
PA3309	-	1.84	0.042	1.24	0.6	-	COG0589	Signal transduction mechanisms
PA3310	-	0.51	0.14	0.45	0.53	K03760	COG2194	General function prediction only
